"","A549.Mock.A","A549.Mock.B","A549.Mock.C","A549.Virus.A","A549.Virus.B","A549.Virus.C","A549.KO3.Mock.A","A549.KO3.Mock.B","A549.KO3.Mock.C","A549.KO3.Virus.A","A549.KO3.Virus.B","A549.KO3.Virus.C"
"CDH4",7.74556302812378,7.68031260066179,7.70650151260154,7.51446142912154,7.47690039481402,7.34478861739592,7.2238521482614,7.28024582562686,7.11728396863701,7.06168954653539,7.11045915813614,7.15313177839793
"PIGK",7.87588776435642,7.90026910795685,8.00139417400352,7.42728539840674,7.36279970195782,7.78901842299382,8.30225218308136,8.12347888222787,8.55996403461983,8.4414469227524,8.41358134106457,8.32833095974764
"LINC00941",6.24049717672344,6.17526934142237,6.27678725232064,6.28003629065382,6.23852769328718,6.43015954845194,5.88398303507028,5.87502526737653,5.83597467098476,5.73265368187994,5.72735187737876,5.60163156788045
"MIR1279",1.53093862211718,1.88188538491435,2.01760747853053,1.92537147672462,1.79582103120119,2.22777484511155,2.8372957395205,2.37612215869539,2.45269531861266,2.56659338900778,2.2910238780643,2.10424628962231
"MIR1264",3.3098071895907,3.36817846292115,3.52457276372077,3.27352309063872,3.24205704322247,3.61922262544453,3.7408481921789,3.50799084686146,3.34853022440184,2.91283688014426,3.12031889645674,2.89635709333747
"BABAM2-AS1",4.29793312333343,4.35518238778601,4.82801386677911,5.16218341038999,5.47876627499978,6.14721967328975,4.38616610962387,4.21985293543644,3.83237360600845,3.67482258445115,4.10742212395966,3.76051390624122
"FTX",6.52373574747636,6.51914758218905,6.46937637956857,6.36542106549664,6.35223597032858,6.49420292988037,7.03855697989818,7.12226940180408,7.2363130771439,7.26560359530242,7.18462840649461,6.95308832052149
"PITPNA-AS1",8.48711307117278,8.62086431086865,8.52949373709293,7.95935160652461,7.62201755118716,7.94093645794547,8.7454331636031,8.66781381226278,8.78165904772571,8.24812267980399,8.37443303172189,8.25110691235663
"MIR2114",4.34307984837067,4.30505315501379,4.56599743312854,4.67825795293079,4.663708962357,4.63594633810567,4.39515321523223,4.16233791638177,4.26312912803583,4.25943392200271,3.50845489497909,4.09427681718591
"MIR548H4",9.07983078408746,9.11715527370295,9.38925792750521,9.42390533747065,9.33918064865441,9.75498505624438,9.83044240864563,9.62143784638796,9.84000530076379,9.79132531398822,9.74172837220933,9.57598167773378
